Age,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,Attrition
21,391,15,3,96,Research Scientist,4,1232,19281,1,14,4,0,0,0,No
34,699,6,2,83,Research Scientist,1,2960,17102,2,11,3,8,4,3,Yes
53,1282,5,3,58,Manager,3,19094,10735,4,11,4,26,14,8,No
32,1125,16,2,72,Research Scientist,1,3919,4681,1,22,2,10,10,7,Yes
42,691,8,3,48,Sales Executive,2,6825,21173,0,11,4,10,9,2,No
44,477,7,1,42,Healthcare Representative,4,10248,2094,3,14,4,24,22,17,No
46,705,2,2,83,Manager,1,18947,22822,3,12,4,22,2,1,No
33,924,2,3,78,Laboratory Technician,4,2496,6670,4,11,4,7,1,0,No
44,1459,10,4,41,Healthcare Representative,4,6465,19121,2,13,4,9,4,3,No
30,125,9,4,83,Laboratory Technician,3,2206,16117,1,13,1,10,10,8,No
39,895,5,4,56,Sales Representative,4,2086,3335,3,14,3,19,1,0,Yes
24,813,1,2,61,Research Scientist,4,2293,3020,2,16,1,6,2,0,Yes
43,1273,2,4,72,Research Scientist,3,2645,21923,1,12,4,6,5,4,No
50,869,3,1,86,Sales Representative,3,2683,3810,1,14,3,3,3,2,Yes
35,890,2,4,97,Sales Representative,4,2014,9687,1,13,1,2,2,2,No
36,852,5,2,82,Research Scientist,1,3419,13072,9,14,4,6,1,0,No
33,1141,1,3,42,Sales Executive,1,5376,3193,2,19,1,10,5,3,No
35,464,4,3,75,Laboratory Technician,4,1951,10910,1,12,3,1,1,0,No
27,1240,2,4,33,Laboratory Technician,1,2341,19715,1,13,4,1,1,0,No
26,1357,25,1,48,Laboratory Technician,3,2293,10558,1,12,3,1,1,1,Yes
27,994,8,4,37,Sales Executive,3,8726,2975,1,15,4,9,9,7,No
30,721,1,3,58,Laboratory Technician,4,4011,10781,1,23,4,12,12,7,No
41,1360,12,2,49,Research Director,3,19545,16280,1,12,4,23,22,8,Yes
34,1065,23,2,72,Sales Executive,3,4568,10034,0,20,3,10,9,7,No
37,408,19,2,73,Research Scientist,2,3022,10227,4,21,1,8,1,0,No
46,1211,5,1,98,Sales Executive,4,5772,20445,4,21,3,14,9,8,No
35,1229,8,4,36,Laboratory Technician,4,2269,4892,1,19,4,1,1,1,No
48,626,1,1,98,Laboratory Technician,3,5381,19294,9,13,4,23,1,0,Yes
28,1434,5,3,50,Laboratory Technician,3,3441,11179,1,13,3,2,2,2,Yes
44,1488,1,2,75,Sales Executive,1,5454,4009,5,21,3,9,4,3,No
35,1097,11,3,79,Healthcare Representative,1,9884,8302,2,13,3,10,4,3,No
26,1443,23,3,47,Sales Executive,4,4157,21436,7,19,3,5,2,0,No
33,515,1,1,98,Research Director,4,13458,15146,1,12,3,15,15,12,No
35,853,18,2,71,Sales Executive,1,9069,11031,1,22,4,9,9,8,No
35,1142,23,3,30,Laboratory Technician,1,4014,16002,3,15,3,4,2,2,No
31,655,7,4,48,Laboratory Technician,4,5915,9528,3,22,4,10,7,7,No
37,1115,1,1,51,Manufacturing Director,3,5993,2689,1,18,3,7,7,7,No
32,427,1,1,33,Manufacturing Director,4,6162,10877,1,22,2,9,9,8,No
38,653,29,4,50,Laboratory Technician,4,2406,5456,1,11,4,10,10,9,No
50,989,7,2,43,Research Director,3,18740,16701,5,12,4,29,27,8,No
59,1435,25,1,99,Sales Executive,1,7637,2354,7,11,4,28,21,9,No
36,1223,8,3,59,Healthcare Representative,3,10096,8202,1,13,2,17,17,8,No
55,836,8,4,33,Manager,3,14756,19730,2,14,3,21,5,2,No
36,1195,11,2,95,Manufacturing Director,2,6499,22656,1,13,3,6,6,3,No
45,1339,7,2,59,Research Scientist,1,9724,18787,2,17,3,25,1,0,No
35,664,1,2,79,Research Scientist,1,2194,5868,4,13,4,5,3,2,No
36,318,9,4,79,Research Scientist,3,3388,21777,0,17,1,2,1,0,Yes
59,1225,1,1,57,Sales Executive,3,5473,24668,7,11,4,20,4,3,No
29,1328,2,3,76,Research Scientist,2,2703,4956,0,23,4,6,5,4,No
31,1082,1,3,87,Research Scientist,2,2501,18775,1,17,2,1,1,0,No
32,548,1,2,66,Research Scientist,2,6220,7346,1,17,2,10,10,9,No
36,132,6,2,55,Laboratory Technician,4,3038,22002,3,12,2,5,1,0,No
31,746,8,3,61,Manufacturing Director,4,4424,20682,1,23,4,11,11,8,No
35,776,1,3,32,Sales Executive,1,4312,23016,0,14,2,16,15,8,No
45,193,6,4,52,Research Director,1,13245,15067,4,14,2,17,0,0,No
37,397,7,1,30,Research Director,3,13664,25258,4,13,1,16,5,2,No
46,945,5,2,80,Human Resources,2,5021,10425,8,22,4,16,4,2,No
30,852,1,4,55,Laboratory Technician,4,5126,15998,1,12,3,10,10,0,No
35,1214,1,2,30,Research Scientist,3,2859,26278,1,18,1,6,6,4,No
55,111,1,1,70,Sales Executive,4,10239,18092,3,14,4,24,1,0,No
38,573,6,2,79,Research Scientist,4,5329,15717,7,12,4,17,13,9,No
34,1153,1,1,94,Manufacturing Director,2,4325,17736,1,15,3,5,5,3,No
56,1400,7,4,49,Manufacturing Director,4,7260,21698,4,11,1,37,6,2,No
23,541,2,3,62,Sales Representative,1,2322,9518,3,13,3,3,0,0,No
51,432,9,4,96,Laboratory Technician,4,2075,18725,3,23,2,10,4,3,No
30,288,2,3,99,Healthcare Representative,4,4152,15830,1,19,1,11,11,8,No
46,669,9,3,64,Sales Executive,4,9619,13596,1,16,4,9,9,7,Yes
40,530,1,3,78,Healthcare Representative,2,13503,14115,1,22,4,22,22,11,No
51,632,21,3,71,Sales Executive,4,5441,8423,0,22,4,11,10,0,No
30,1334,4,3,63,Sales Executive,2,5209,19760,1,12,2,11,11,7,No
46,638,1,3,40,Healthcare Representative,1,10673,3142,2,13,3,21,10,5,No
32,1093,6,2,87,Sales Executive,3,5010,24301,1,16,1,12,11,7,No
54,1217,2,1,60,Research Director,3,13549,24001,9,12,1,16,4,3,No
24,1353,3,1,33,Sales Executive,3,4999,17519,0,21,1,4,3,2,No
28,120,4,2,43,Sales Executive,3,4221,8863,1,15,2,5,5,4,No
58,682,10,4,37,Sales Executive,3,13872,24409,0,13,3,38,37,8,No
44,489,23,2,67,Laboratory Technician,2,2042,25043,4,12,3,17,3,2,No
37,807,6,3,63,Human Resources,1,2073,23648,4,22,4,7,3,2,Yes
32,827,1,4,71,Research Scientist,1,2956,15178,1,13,4,1,1,0,No
20,871,6,4,66,Laboratory Technician,4,2926,19783,1,18,2,1,1,0,Yes
34,665,6,1,41,Research Scientist,3,4809,12482,1,14,3,16,16,10,No
37,1040,2,3,100,Healthcare Representative,4,5163,15850,5,14,4,17,1,0,No
59,1420,2,3,32,Manager,4,18844,21922,9,21,4,30,3,2,No
50,1115,1,1,73,Research Director,2,18172,9755,3,19,1,28,8,7,No
25,240,5,3,46,Sales Executive,3,5744,26959,1,11,4,6,6,3,Yes
25,1280,7,4,64,Research Scientist,4,2889,26897,1,11,3,2,2,1,No
22,534,15,2,59,Laboratory Technician,4,2871,23785,1,15,3,1,0,0,No
51,1456,1,1,30,Healthcare Representative,1,7484,25796,3,20,3,23,13,8,No
34,658,7,1,66,Laboratory Technician,3,6074,22887,1,24,4,9,9,6,Yes
54,142,26,4,30,Manager,4,17328,13871,2,12,3,23,5,4,No
24,1127,18,2,52,Laboratory Technician,3,2774,13257,0,12,3,6,5,2,No
34,1031,6,3,45,Research Scientist,2,4505,15000,6,15,3,12,1,0,No
37,1189,3,3,87,Sales Executive,4,7428,14506,2,12,1,12,5,3,No
34,1354,5,3,45,Manager,1,11631,5615,2,12,4,14,11,8,No
36,1467,11,2,92,Sales Executive,4,9738,22952,0,14,3,10,9,8,No
36,922,3,1,39,Laboratory Technician,4,2835,2561,5,22,1,7,1,0,No
43,394,26,3,92,Manager,4,16959,19494,1,12,4,25,25,12,No
30,1312,23,1,96,Research Scientist,3,2613,22310,1,25,3,10,10,9,No
33,750,22,3,95,Sales Executive,2,6146,15480,0,13,1,8,7,7,No
56,441,14,2,72,Research Scientist,2,4963,4510,9,18,1,7,5,3,Yes
51,684,6,1,51,Research Director,3,19537,6462,7,13,3,23,20,15,No
31,249,6,2,76,Sales Executive,3,6172,20739,4,18,2,12,7,7,Yes
26,841,6,3,46,Research Scientist,2,2368,23300,1,19,3,5,5,3,No
58,147,23,4,94,Healthcare Representative,4,10312,3465,1,12,4,40,40,6,Yes
19,528,22,4,50,Sales Representative,3,1675,26820,1,19,4,0,0,0,Yes
22,594,2,3,100,Laboratory Technician,4,2523,19299,0,14,3,3,2,1,No
49,470,20,3,96,Manufacturing Director,1,6567,5549,1,14,3,16,15,11,No
43,957,28,2,72,Research Scientist,3,4739,16090,4,12,4,18,3,2,No
50,809,12,3,77,Sales Executive,4,9208,6645,4,11,4,16,2,1,No
31,542,20,2,71,Sales Executive,3,4559,24788,3,11,3,4,2,2,Yes
41,802,9,3,96,Sales Executive,3,8189,21196,3,13,3,12,9,7,No
26,1355,25,3,61,Human Resources,3,2942,8916,1,23,4,8,8,7,No
36,216,6,2,84,Manufacturing Director,2,4941,2819,6,20,4,7,3,1,No
51,1150,8,1,53,Manufacturing Director,4,10650,25150,2,15,4,18,4,3,Yes
39,1329,4,4,47,Sales Executive,3,5902,14590,4,14,3,17,15,9,No
25,959,28,1,41,Sales Executive,3,8639,24835,2,18,4,6,2,2,No
30,1240,9,3,48,Human Resources,4,6347,13982,0,19,4,12,11,7,No
32,1033,9,1,41,Laboratory Technician,1,4200,10224,7,22,1,10,5,4,Yes
45,1316,29,3,83,Research Scientist,4,3452,9752,5,13,2,9,6,3,No
38,364,3,4,32,Research Scientist,3,4317,2302,3,20,2,19,3,2,No
30,438,18,1,75,Research Scientist,3,2632,23910,1,14,3,5,5,4,No
32,689,9,4,35,Sales Executive,4,4668,22812,0,17,4,9,8,7,No
30,201,5,4,84,Research Scientist,1,3204,10415,5,14,4,8,3,2,No
30,1427,2,2,35,Laboratory Technician,4,2720,11162,0,13,4,6,5,2,No
41,857,10,4,91,Manager,1,17181,12888,4,13,2,21,7,7,No
41,933,9,3,94,Laboratory Technician,1,2238,6961,2,21,4,7,5,4,No
19,1181,3,2,79,Laboratory Technician,2,1483,16102,1,14,4,1,1,0,No
40,1395,26,2,54,Research Scientist,2,5605,8504,1,11,1,20,20,13,No
35,662,1,3,94,Sales Executive,2,7295,11439,1,13,1,10,10,6,No
53,1436,6,2,34,Sales Representative,3,2306,16047,2,20,4,13,7,5,No
45,194,9,2,60,Laboratory Technician,2,2348,10901,8,18,3,20,17,15,No
32,967,8,2,43,Sales Executive,4,8998,15589,1,14,4,9,9,7,No
29,1496,1,4,41,Manufacturing Director,3,4319,26283,1,13,1,10,10,9,No
51,1169,7,2,34,Manufacturing Director,3,6132,13983,2,17,3,10,1,0,No
58,1145,9,2,75,Research Scientist,2,3346,11873,4,20,2,9,1,0,No
40,630,4,3,67,Sales Executive,4,10855,8552,7,11,1,15,12,11,No
34,303,2,3,75,Sales Representative,3,2231,11314,6,18,4,6,4,2,No
22,1256,19,3,80,Research Scientist,4,2323,11992,1,24,1,2,2,2,No
27,691,9,4,57,Research Scientist,2,2024,5970,6,18,4,6,2,2,No
28,440,21,3,42,Research Scientist,4,2713,6672,1,11,3,5,5,2,No
57,334,24,3,83,Healthcare Representative,4,9439,23402,3,16,2,12,5,4,No
27,1450,3,3,79,Research Scientist,3,2566,25326,1,15,4,1,1,1,No
50,1452,11,3,53,Manager,2,19926,17053,3,15,2,21,5,4,No
41,465,14,1,56,Research Scientist,3,2451,4609,4,12,1,13,9,8,No
30,1339,5,2,41,Sales Executive,4,9419,8053,2,12,3,12,10,4,No
38,702,1,1,59,Sales Executive,4,8686,12930,4,22,3,12,8,7,No
32,120,6,3,43,Research Scientist,3,3038,12430,3,20,1,8,5,4,No
27,1157,17,3,51,Research Scientist,2,3058,13364,0,16,4,6,5,1,No
19,602,1,3,100,Sales Representative,1,2325,20989,0,21,1,1,0,0,Yes
36,1480,3,4,30,Laboratory Technician,2,2088,15062,4,12,3,13,8,2,No
30,111,9,3,66,Laboratory Technician,1,3072,11012,1,11,3,12,12,10,No
45,1268,4,3,30,Sales Executive,1,5006,6319,4,11,1,9,5,3,No
56,713,8,3,67,Research Scientist,1,4257,13939,4,18,3,19,2,2,No
33,134,2,3,90,Research Scientist,4,2500,10515,0,14,1,4,3,2,No
19,303,2,2,47,Laboratory Technician,4,1102,9241,1,22,3,1,1,0,Yes
46,526,1,2,92,Sales Executive,1,10453,2137,1,25,3,24,24,7,No
38,1380,9,3,75,Laboratory Technician,4,2288,6319,1,12,3,2,2,1,No
31,140,12,3,95,Research Scientist,4,3929,6984,8,23,3,7,4,2,No
34,629,27,4,95,Research Scientist,2,2311,5711,2,15,4,9,3,2,No
41,1356,20,2,70,Sales Representative,2,3140,21728,1,22,4,4,4,2,Yes
50,328,1,3,86,Laboratory Technician,3,3690,3425,2,15,4,5,3,2,No
53,1084,13,4,57,Manufacturing Director,1,4450,26250,1,11,3,5,4,3,No
33,931,14,4,72,Research Scientist,2,2756,4673,1,13,4,8,8,6,No
40,989,4,4,46,Manager,3,19033,6499,1,14,2,21,20,9,No
55,692,14,3,61,Research Director,2,18722,13339,8,11,4,36,24,15,No
34,1069,2,4,45,Manufacturing Director,3,9547,14074,1,17,3,10,10,9,No
51,313,3,4,98,Healthcare Representative,2,13734,7192,3,18,3,21,7,0,No
52,699,1,3,65,Manager,3,19999,5678,0,14,1,34,33,9,No
27,894,9,4,99,Research Scientist,2,2279,11781,1,16,4,7,7,3,No
35,556,23,2,50,Manufacturing Director,3,5916,15497,3,13,1,8,1,1,Yes
43,1344,7,4,37,Research Scientist,4,2089,5228,4,14,4,7,5,2,No
45,1195,2,1,65,Manager,4,16792,20462,9,23,4,22,20,8,No
37,290,21,2,65,Research Scientist,1,3564,22977,1,12,1,8,8,7,No
35,138,2,2,37,Laboratory Technician,2,4425,15986,5,11,4,10,6,2,No
42,926,21,3,36,Manufacturing Director,3,5265,16439,2,16,2,11,5,2,No
38,1261,2,4,88,Manufacturing Director,3,6553,7259,9,14,2,14,1,0,No
38,1084,29,4,54,Manufacturing Director,4,6261,4185,3,18,1,9,7,7,No
27,472,1,3,60,Manufacturing Director,1,4298,9679,5,19,3,6,2,0,No
49,1002,18,4,92,Manufacturing Director,4,6804,23793,1,15,1,7,7,7,No
34,878,10,4,43,Research Scientist,3,3815,5972,1,17,4,5,5,0,No
40,905,19,3,99,Laboratory Technician,4,2741,16523,8,15,3,15,7,7,No
38,1180,29,2,70,Healthcare Representative,1,6673,11354,7,19,2,17,1,0,Yes
29,121,27,2,35,Sales Executive,4,7639,24525,1,22,4,10,10,9,Yes
22,1136,5,4,60,Research Scientist,2,2328,12392,1,16,1,4,4,2,No
36,635,18,2,73,Laboratory Technician,4,2153,7703,1,13,1,8,8,7,No
40,1151,9,4,63,Healthcare Representative,4,4876,14242,9,14,4,5,3,2,No
46,644,1,4,97,Healthcare Representative,1,9396,12368,7,16,3,17,4,3,No
32,1045,4,4,32,Sales Executive,4,10400,25812,1,11,3,14,14,8,Yes
30,829,1,3,88,Manufacturing Director,3,8474,20925,1,22,3,12,11,8,No
27,1242,20,4,90,Sales Executive,3,9981,12916,1,14,4,7,7,7,No
51,1469,8,2,81,Research Director,2,12490,15736,5,16,4,16,10,7,No
30,1005,3,4,88,Research Scientist,1,2657,8556,5,11,3,8,5,4,Yes
41,896,6,4,75,Manager,4,13591,14674,3,18,3,16,1,0,No
30,334,26,3,52,Sales Executive,1,6696,22967,5,15,3,9,6,1,Yes
29,992,1,3,85,Research Scientist,3,2058,19757,0,14,4,7,6,5,Yes
45,1052,6,4,57,Sales Executive,4,8865,16840,6,12,4,23,19,8,No
54,1147,3,4,52,Sales Executive,1,5940,17011,2,14,4,16,6,5,No
36,1396,5,4,62,Laboratory Technician,2,5914,9945,8,16,4,16,13,7,No
33,147,4,3,47,Research Scientist,2,2622,13248,6,21,4,7,3,1,No
37,663,11,2,47,Research Director,4,12185,10056,1,14,3,10,10,7,No
38,119,3,1,76,Sales Executive,3,10609,9647,0,12,3,17,16,13,No
31,979,1,3,90,Manufacturing Director,3,4345,4381,0,12,4,6,5,4,No
59,142,3,3,70,Research Scientist,4,2177,8456,3,17,1,7,1,0,No
37,319,4,1,41,Sales Representative,4,2793,2539,4,17,3,13,9,8,No
29,1413,1,2,42,Sales Executive,4,7918,6599,1,14,4,11,11,1,No
35,944,1,3,92,Sales Executive,3,8789,9096,1,14,1,10,10,8,No
29,896,18,3,86,Research Scientist,4,2389,14961,1,13,3,4,4,1,Yes
52,1323,2,3,89,Laboratory Technician,4,3212,3300,7,15,2,6,2,2,No
42,532,4,3,58,Manager,4,19232,4933,1,11,4,22,22,15,No
59,818,6,2,52,Human Resources,3,2267,25657,8,17,4,7,2,2,No
50,854,1,4,68,Manager,4,19517,24118,3,11,3,32,7,6,No
33,813,14,3,58,Laboratory Technician,4,2436,22149,5,13,3,8,5,4,Yes
43,1034,16,4,80,Manager,4,16064,7744,5,22,3,22,17,9,No
33,465,2,1,39,Laboratory Technician,1,2707,21509,7,20,1,13,9,7,Yes
52,771,2,1,79,Manager,3,19068,21030,1,18,4,33,33,12,No
32,1401,4,3,56,Sales Representative,2,3931,20990,2,11,1,6,4,2,No
32,515,1,4,62,Laboratory Technician,3,3730,9571,0,14,4,4,3,2,Yes
39,1431,1,3,96,Laboratory Technician,3,2232,15417,7,14,3,7,3,2,No
32,976,26,3,100,Sales Executive,4,4465,12069,0,18,1,4,3,2,No
41,1411,19,3,36,Research Scientist,1,3072,19877,2,16,1,17,1,0,No
40,1300,24,1,62,Research Scientist,4,3319,24447,1,17,1,9,9,7,No
45,252,1,3,70,Manager,4,19202,15970,0,11,3,25,24,7,No
31,1327,3,2,73,Research Director,3,13675,13523,9,12,1,9,2,2,No
33,832,5,3,63,Research Scientist,4,2911,14776,1,13,3,2,2,2,No
34,470,2,4,84,Manufacturing Director,1,5957,23687,6,13,2,13,11,9,No
37,1017,1,3,83,Research Scientist,1,3920,18697,2,14,1,17,3,2,No
45,1199,7,1,77,Manufacturing Director,3,6434,5118,4,17,4,9,3,2,No
37,504,10,1,61,Manufacturing Director,3,10048,22573,6,11,2,17,1,0,Yes
39,505,2,3,64,Healthcare Representative,3,10938,6420,0,25,4,20,19,8,No
29,665,15,3,60,Research Scientist,4,2340,22673,1,19,1,6,6,5,No
42,916,17,4,82,Research Scientist,1,6545,23016,3,13,3,10,3,2,No
29,1247,20,4,45,Sales Executive,4,6931,10732,2,14,4,10,3,2,No
25,685,1,1,62,Manufacturing Director,3,4898,7505,0,12,4,5,4,2,No
42,269,2,4,56,Laboratory Technician,1,2593,8007,0,11,3,10,9,8,No
40,1416,2,1,49,Research Director,3,19436,5949,0,19,4,22,21,9,No
51,833,1,3,96,Research Scientist,4,2723,23231,1,11,2,1,1,0,No
31,307,29,3,71,Laboratory Technician,2,3479,11652,0,11,2,6,5,4,Yes
32,1311,7,2,100,Laboratory Technician,2,2794,26062,1,20,3,5,5,3,No
38,1327,2,4,39,Sales Executive,4,5249,19682,3,18,4,13,8,5,No
32,128,2,4,84,Laboratory Technician,1,2176,19737,4,13,4,9,6,4,No
46,488,2,3,75,Manager,2,16872,14977,3,12,2,28,7,7,No
28,529,2,1,79,Laboratory Technician,3,3485,14935,2,11,3,5,0,0,Yes
29,1210,2,1,78,Sales Executive,2,6644,3687,2,19,2,10,0,0,No
31,1463,23,2,64,Healthcare Representative,4,5582,14408,0,21,2,10,9,8,No
25,675,5,2,85,Healthcare Representative,1,4000,18384,1,12,4,6,6,5,No
45,1385,20,3,79,Healthcare Representative,4,13496,7501,0,14,2,21,20,10,No
36,1403,6,4,47,Laboratory Technician,4,3210,20251,0,11,3,16,15,11,No
55,452,1,4,81,Manager,1,19045,18938,0,14,3,37,36,13,No
47,666,29,1,88,Manager,2,11849,10268,1,12,4,10,10,9,Yes
28,1158,9,4,94,Research Scientist,4,2070,2613,1,23,4,5,5,4,No
37,228,6,3,98,Sales Executive,4,6502,22825,4,14,2,7,5,1,No
21,996,3,4,100,Research Scientist,3,3230,10531,1,17,1,3,3,0,No
37,728,1,1,80,Research Director,4,13603,11677,2,18,1,15,5,2,No
35,1315,22,2,71,Manager,2,11996,19100,7,18,2,10,7,2,No
38,322,7,1,44,Sales Executive,1,5605,19191,1,24,3,8,8,7,No
26,1479,1,3,84,Manufacturing Director,2,6397,26767,1,20,1,6,6,4,No
50,797,4,1,96,Research Director,2,19144,15815,3,14,1,28,10,6,No
53,1070,3,3,45,Research Director,3,17584,21016,3,16,4,21,5,3,No
42,635,1,2,99,Sales Executive,3,4907,24532,1,25,3,20,20,6,No
29,442,2,2,44,Sales Executive,4,4554,20260,1,18,1,10,10,9,No
55,147,20,2,37,Laboratory Technician,4,5415,15972,3,19,4,12,10,8,No
26,496,11,1,60,Healthcare Representative,1,4741,22722,1,13,3,5,5,3,No
37,1372,1,4,42,Research Scientist,4,2115,15881,1,12,2,17,17,7,No
44,920,24,4,43,Laboratory Technician,3,3161,19920,3,22,4,19,1,0,Yes
38,688,23,4,82,Healthcare Representative,4,5745,18899,9,14,2,10,2,2,No
26,1449,16,1,45,Laboratory Technician,2,2373,14180,2,13,4,5,3,2,Yes
28,1117,8,4,66,Research Scientist,4,3310,4488,1,21,4,5,5,2,No
49,636,10,3,35,Research Director,1,18665,25594,9,11,4,22,3,2,No
36,506,3,3,30,Research Scientist,2,4485,26285,4,12,4,10,8,7,No
31,444,5,4,84,Sales Representative,2,2789,3909,1,11,3,2,2,2,No
26,950,4,4,48,Sales Executive,4,5828,8450,1,12,2,8,8,4,Yes
37,889,9,2,53,Research Scientist,4,2326,11411,1,12,3,4,4,2,No
42,555,26,3,77,Sales Executive,2,13525,14864,5,14,4,23,20,8,No
18,230,3,3,54,Laboratory Technician,3,1420,25233,1,13,3,0,0,0,Yes
35,1232,16,3,96,Sales Executive,2,8020,5100,0,15,3,12,11,9,No
36,566,18,3,81,Laboratory Technician,4,3688,7122,4,18,4,4,1,0,No
51,1302,2,4,84,Manufacturing Director,2,5482,16321,5,18,4,13,4,2,No
41,334,2,4,88,Manager,2,16015,15896,1,19,2,22,22,4,No
18,812,10,4,69,Sales Representative,3,1200,9724,1,12,1,0,0,0,No
28,1476,16,2,68,Healthcare Representative,1,5661,4824,0,19,3,9,8,7,No
31,218,7,2,100,Sales Executive,4,6929,12241,4,11,2,10,8,7,No
39,1132,1,3,48,Healthcare Representative,4,9613,10942,0,17,1,19,18,7,No
36,1105,24,2,47,Laboratory Technician,2,5674,6927,7,15,3,11,9,8,No
32,906,7,4,91,Sales Executive,3,5484,16985,1,14,3,13,13,8,No
38,849,25,1,81,Research Director,2,12061,26707,3,17,3,19,10,1,No
58,390,1,4,32,Healthcare Representative,3,5660,17056,2,13,4,12,5,2,No
31,691,5,3,86,Research Scientist,4,4821,10077,0,12,3,6,5,3,No
31,106,2,1,62,Human Resources,1,6410,17822,3,12,4,9,2,0,No
45,1249,7,1,97,Laboratory Technician,1,5210,20308,1,18,1,24,24,11,No
31,192,2,3,32,Research Scientist,4,2695,7747,0,18,2,3,2,2,No
33,553,5,4,74,Manager,2,11878,23364,6,11,2,12,10,8,No
39,117,10,3,99,Manager,1,17068,5355,1,14,4,21,21,10,No
43,185,10,3,33,Laboratory Technician,4,2455,10675,0,19,1,9,8,7,No
49,1091,1,3,90,Healthcare Representative,3,13964,17810,7,12,4,25,7,7,No
52,723,8,3,85,Research Scientist,2,4941,17747,2,15,1,11,8,7,Yes
27,1220,5,3,85,Research Scientist,2,2478,20938,1,12,2,4,4,2,No
32,588,8,3,65,Sales Executive,2,5228,24624,1,11,4,13,13,9,No
27,1377,2,4,74,Sales Executive,3,4478,5242,1,11,1,5,5,4,No
31,691,7,4,73,Sales Executive,4,7547,7143,4,12,4,13,7,7,No
32,1018,2,1,74,Research Scientist,4,5055,10557,7,16,3,10,7,7,No
28,1157,2,1,84,Research Scientist,4,3464,24737,5,13,4,5,3,2,Yes
30,1275,28,4,64,Research Scientist,4,5775,11934,1,13,4,11,10,9,No
31,798,7,3,48,Manufacturing Director,3,8943,14034,1,24,1,10,10,9,No
39,672,7,3,54,Manager,4,19272,21141,1,15,1,21,21,3,No
39,1162,3,4,41,Sales Executive,3,5238,17778,4,18,1,12,1,0,Yes
33,508,10,2,46,Sales Executive,4,4682,4317,3,14,3,9,7,1,No
47,1482,5,4,42,Research Director,3,18300,16375,4,11,2,21,3,1,No
43,559,10,3,82,Laboratory Technician,3,5257,6227,1,11,2,9,9,0,No
27,210,1,3,73,Sales Executive,2,6349,22107,0,13,4,6,5,4,No
54,928,20,4,31,Research Scientist,3,4869,16885,3,12,4,20,4,3,No
43,1001,7,3,43,Healthcare Representative,1,9985,9262,8,16,1,10,1,0,No
45,549,8,4,75,Research Scientist,4,3697,9278,9,14,1,12,10,8,No
40,1124,1,2,57,Sales Executive,4,7457,13273,2,22,3,6,4,2,No
29,318,8,2,77,Laboratory Technician,1,2119,4759,1,11,4,7,7,7,Yes
29,738,9,2,30,Laboratory Technician,4,3983,7621,0,17,3,4,3,2,No
30,570,5,4,30,Sales Executive,3,6118,5431,1,13,3,10,10,2,No
27,1130,8,2,56,Sales Executive,2,6214,3415,1,18,1,8,8,7,No
37,1192,5,4,61,Manufacturing Director,4,6347,23177,7,16,3,8,6,4,No
38,343,15,3,92,Research Director,4,11510,15682,0,14,2,12,11,9,No
